CUST_NO,sepal_length,sepal_width,petal_length,petal_width,IS_TARGET
u1,5.1,3.5,1.4,0.2,1
u2,4.9,3,1.4,0.2,1
u3,4.7,3.2,1.3,0.2,1
u4,4.6,3.1,1.5,0.2,1
u5,5,3.6,1.4,0.2,1
u6,5.4,3.9,1.7,0.4,1
u7,4.6,3.4,1.4,0.3,1
u8,5,3.4,1.5,0.2,1
u9,4.4,2.9,1.4,0.2,1
u10,4.9,3.1,1.5,0.1,1
u11,5.4,3.7,1.5,0.2,1
u12,4.8,3.4,1.6,0.2,1
u13,4.8,3,1.4,0.1,1
u14,4.3,3,1.1,0.1,1
u15,5.8,4,1.2,0.2,1
u16,5.7,4.4,1.5,0.4,1
u17,5.4,3.9,1.3,0.4,1
u18,5.1,3.5,1.4,0.3,1
u19,5.7,3.8,1.7,0.3,1
u20,5.1,3.8,1.5,0.3,1
u21,5.4,3.4,1.7,0.2,1
u22,5.1,3.7,1.5,0.4,1
u23,4.6,3.6,1,0.2,1
u24,5.1,3.3,1.7,0.5,1
u25,4.8,3.4,1.9,0.2,1
u26,5,3,1.6,0.2,1
u27,5,3.4,1.6,0.4,1
u28,5.2,3.5,1.5,0.2,1
u29,5.2,3.4,1.4,0.2,1
u30,4.7,3.2,1.6,0.2,1
u31,4.8,3.1,1.6,0.2,1
u32,5.4,3.4,1.5,0.4,1
u33,5.2,4.1,1.5,0.1,1
u34,5.5,4.2,1.4,0.2,1
u35,4.9,3.1,1.5,0.1,1
u36,5,3.2,1.2,0.2,1
u37,5.5,3.5,1.3,0.2,1
u38,4.9,3.1,1.5,0.1,1
u39,4.4,3,1.3,0.2,1
u40,5.1,3.4,1.5,0.2,1
u41,5,3.5,1.3,0.3,1
u42,4.5,2.3,1.3,0.3,1
u43,4.4,3.2,1.3,0.2,1
u44,5,3.5,1.6,0.6,1
u45,5.1,3.8,1.9,0.4,1
u46,4.8,3,1.4,0.3,1
u47,5.1,3.8,1.6,0.2,1
u48,4.6,3.2,1.4,0.2,1
u49,5.3,3.7,1.5,0.2,1
u50,5,3.3,1.4,0.2,1
u51,7,3.2,4.7,1.4,0
u52,6.4,3.2,4.5,1.5,0
u53,6.9,3.1,4.9,1.5,0
u54,5.5,2.3,4,1.3,0
u55,6.5,2.8,4.6,1.5,0
u56,5.7,2.8,4.5,1.3,0
u57,6.3,3.3,4.7,1.6,0
u58,4.9,2.4,3.3,1,0
u59,6.6,2.9,4.6,1.3,0
u60,5.2,2.7,3.9,1.4,0
u61,5,2,3.5,1,0
u62,5.9,3,4.2,1.5,0
u63,6,2.2,4,1,0
u64,6.1,2.9,4.7,1.4,0
u65,5.6,2.9,3.6,1.3,0
u66,6.7,3.1,4.4,1.4,0
u67,5.6,3,4.5,1.5,0
u68,5.8,2.7,4.1,1,0
u69,6.2,2.2,4.5,1.5,0
u70,5.6,2.5,3.9,1.1,0
u71,5.9,3.2,4.8,1.8,0
u72,6.1,2.8,4,1.3,0
u73,6.3,2.5,4.9,1.5,0
u74,6.1,2.8,4.7,1.2,0
u75,6.4,2.9,4.3,1.3,0
u76,6.6,3,4.4,1.4,0
u77,6.8,2.8,4.8,1.4,0
u78,6.7,3,5,1.7,0
u79,6,2.9,4.5,1.5,0
u80,5.7,2.6,3.5,1,0
u81,5.5,2.4,3.8,1.1,0
u82,5.5,2.4,3.7,1,0
u83,5.8,2.7,3.9,1.2,0
u84,6,2.7,5.1,1.6,0
u85,5.4,3,4.5,1.5,0
u86,6,3.4,4.5,1.6,0
u87,6.7,3.1,4.7,1.5,0
u88,6.3,2.3,4.4,1.3,0
u89,5.6,3,4.1,1.3,0
u90,5.5,2.5,4,1.3,0
u91,5.5,2.6,4.4,1.2,0
u92,6.1,3,4.6,1.4,0
u93,5.8,2.6,4,1.2,0
u94,5,2.3,3.3,1,0
u95,5.6,2.7,4.2,1.3,0
u96,5.7,3,4.2,1.2,0
u97,5.7,2.9,4.2,1.3,0
u98,6.2,2.9,4.3,1.3,0
u99,5.1,2.5,3,1.1,0
u100,5.7,2.8,4.1,1.3,0
