CUST_NO,sepal_length,sepal_width,petal_length,petal_width,IS_TARGET
u1,5.1,3.5,1.4,0.2,0
u2,4.9,3,1.4,0.2,0
u3,4.7,3.2,1.3,0.2,0
u4,4.6,3.1,1.5,0.2,0
u5,5,3.6,1.4,0.2,0
u6,5.4,3.9,1.7,0.4,0
u7,4.6,3.4,1.4,0.3,0
u8,5,3.4,1.5,0.2,0
u9,4.4,2.9,1.4,0.2,0
u10,4.9,3.1,1.5,0.1,0
u11,5.4,3.7,1.5,0.2,0
u12,4.8,3.4,1.6,0.2,0
u13,4.8,3,1.4,0.1,0
u14,4.3,3,1.1,0.1,0
u15,5.8,4,1.2,0.2,0
u16,5.7,4.4,1.5,0.4,0
u17,5.4,3.9,1.3,0.4,0
u18,5.1,3.5,1.4,0.3,0
u19,5.7,3.8,1.7,0.3,0
u20,5.1,3.8,1.5,0.3,0
u21,5.4,3.4,1.7,0.2,0
u22,5.1,3.7,1.5,0.4,0
u23,4.6,3.6,1,0.2,0
u24,5.1,3.3,1.7,0.5,0
u25,4.8,3.4,1.9,0.2,0
u26,5,3,1.6,0.2,0
u27,5,3.4,1.6,0.4,0
u28,5.2,3.5,1.5,0.2,0
u29,5.2,3.4,1.4,0.2,0
u30,4.7,3.2,1.6,0.2,0
u31,4.8,3.1,1.6,0.2,0
u32,5.4,3.4,1.5,0.4,0
u33,5.2,4.1,1.5,0.1,0
u34,5.5,4.2,1.4,0.2,0
u35,4.9,3.1,1.5,0.1,0
u36,5,3.2,1.2,0.2,0
u37,5.5,3.5,1.3,0.2,0
u38,4.9,3.1,1.5,0.1,0
u39,4.4,3,1.3,0.2,0
u40,5.1,3.4,1.5,0.2,0
u41,5,3.5,1.3,0.3,0
u42,4.5,2.3,1.3,0.3,0
u43,4.4,3.2,1.3,0.2,0
u44,5,3.5,1.6,0.6,0
u45,5.1,3.8,1.9,0.4,0
u46,4.8,3,1.4,0.3,0
u47,5.1,3.8,1.6,0.2,0
u48,4.6,3.2,1.4,0.2,0
u49,5.3,3.7,1.5,0.2,0
u50,5,3.3,1.4,0.2,0
u51,7,3.2,4.7,1.4,1
u52,6.4,3.2,4.5,1.5,1
u53,6.9,3.1,4.9,1.5,1
u54,5.5,2.3,4,1.3,1
u55,6.5,2.8,4.6,1.5,1
u56,5.7,2.8,4.5,1.3,1
u57,6.3,3.3,4.7,1.6,1
u58,4.9,2.4,3.3,1,1
u59,6.6,2.9,4.6,1.3,1
u60,5.2,2.7,3.9,1.4,1
u61,5,2,3.5,1,1
u62,5.9,3,4.2,1.5,1
u63,6,2.2,4,1,1
u64,6.1,2.9,4.7,1.4,1
u65,5.6,2.9,3.6,1.3,1
u66,6.7,3.1,4.4,1.4,1
u67,5.6,3,4.5,1.5,1
u68,5.8,2.7,4.1,1,1
u69,6.2,2.2,4.5,1.5,1
u70,5.6,2.5,3.9,1.1,1
u71,5.9,3.2,4.8,1.8,1
u72,6.1,2.8,4,1.3,1
u73,6.3,2.5,4.9,1.5,1
u74,6.1,2.8,4.7,1.2,1
u75,6.4,2.9,4.3,1.3,1
u76,6.6,3,4.4,1.4,1
u77,6.8,2.8,4.8,1.4,1
u78,6.7,3,5,1.7,1
u79,6,2.9,4.5,1.5,1
u80,5.7,2.6,3.5,1,1
u81,5.5,2.4,3.8,1.1,1
u82,5.5,2.4,3.7,1,1
u83,5.8,2.7,3.9,1.2,1
u84,6,2.7,5.1,1.6,1
u85,5.4,3,4.5,1.5,1
u86,6,3.4,4.5,1.6,1
u87,6.7,3.1,4.7,1.5,1
u88,6.3,2.3,4.4,1.3,1
u89,5.6,3,4.1,1.3,1
u90,5.5,2.5,4,1.3,1
u91,5.5,2.6,4.4,1.2,1
u92,6.1,3,4.6,1.4,1
u93,5.8,2.6,4,1.2,1
u94,5,2.3,3.3,1,1
u95,5.6,2.7,4.2,1.3,1
u96,5.7,3,4.2,1.2,1
u97,5.7,2.9,4.2,1.3,1
u98,6.2,2.9,4.3,1.3,1
u99,5.1,2.5,3,1.1,1
u100,5.7,2.8,4.1,1.3,1
u101,6.3,3.3,6,2.5,2
u102,5.8,2.7,5.1,1.9,2
u103,7.1,3,5.9,2.1,2
u104,6.3,2.9,5.6,1.8,2
u105,6.5,3,5.8,2.2,2
u106,7.6,3,6.6,2.1,2
u107,4.9,2.5,4.5,1.7,2
u108,7.3,2.9,6.3,1.8,2
u109,6.7,2.5,5.8,1.8,2
u110,7.2,3.6,6.1,2.5,2
u111,6.5,3.2,5.1,2,2
u112,6.4,2.7,5.3,1.9,2
u113,6.8,3,5.5,2.1,2
u114,5.7,2.5,5,2,2
u115,5.8,2.8,5.1,2.4,2
u116,6.4,3.2,5.3,2.3,2
u117,6.5,3,5.5,1.8,2
u118,7.7,3.8,6.7,2.2,2
u119,7.7,2.6,6.9,2.3,2
u120,6,2.2,5,1.5,2
u121,6.9,3.2,5.7,2.3,2
u122,5.6,2.8,4.9,2,2
u123,7.7,2.8,6.7,2,2
u124,6.3,2.7,4.9,1.8,2
u125,6.7,3.3,5.7,2.1,2
u126,7.2,3.2,6,1.8,2
u127,6.2,2.8,4.8,1.8,2
u128,6.1,3,4.9,1.8,2
u129,6.4,2.8,5.6,2.1,2
u130,7.2,3,5.8,1.6,2
u131,7.4,2.8,6.1,1.9,2
u132,7.9,3.8,6.4,2,2
u133,6.4,2.8,5.6,2.2,2
u134,6.3,2.8,5.1,1.5,2
u135,6.1,2.6,5.6,1.4,2
u136,7.7,3,6.1,2.3,2
u137,6.3,3.4,5.6,2.4,2
u138,6.4,3.1,5.5,1.8,2
u139,6,3,4.8,1.8,2
u140,6.9,3.1,5.4,2.1,2
u141,6.7,3.1,5.6,2.4,2
u142,6.9,3.1,5.1,2.3,2
u143,5.8,2.7,5.1,1.9,2
u144,6.8,3.2,5.9,2.3,2
u145,6.7,3.3,5.7,2.5,2
u146,6.7,3,5.2,2.3,2
u147,6.3,2.5,5,1.9,2
u148,6.5,3,5.2,2,2
u149,6.2,3.4,5.4,2.3,2
u150,5.9,3,5.1,1.8,2
